,rpm,duty_cycle_now,avg_motor_current,avg_input_current
0,0.0,0.0,0.43,0.29
1,2699.0,0.259,0.0,0.0
2,3654.0,0.305,-2.58,-0.48
3,4398.0,0.345,-5.52,-1.49
4,4947.0,0.367,-9.63,-2.9
5,5350.0,0.395,-13.76,-4.45
6,5634.0,0.404,-17.36,-5.85
7,5995.0,0.439,-20.47,-7.28
8,6069.0,0.42,-24.45,-8.7
9,6128.0,0.434,-25.37,-9.1
10,6172.0,0.425,-26.12,-9.41
11,6207.0,0.43,-26.75,-9.69
12,6235.0,0.439,-27.13,-9.86
13,6261.0,0.447,-27.52,-10.03
14,6283.0,0.456,-27.88,-10.19
15,6297.0,0.439,-28.2,-10.32
16,6317.0,0.438,-28.42,-10.44
17,6335.0,0.444,-28.65,-10.55
18,6349.0,0.442,-28.85,-10.64
19,6360.0,0.451,-29.17,-10.77
20,6374.0,0.449,-29.28,-10.83
21,6390.0,0.452,-29.42,-10.91
22,6399.0,0.445,-29.62,-10.99
23,6406.0,0.45,-29.86,-11.08
24,6422.0,0.445,-29.81,-11.1
25,6431.0,0.454,-30.13,-11.22
26,6440.0,0.453,-30.21,-11.27
27,6447.0,0.451,-30.45,-11.36
28,6457.0,0.459,-30.42,-11.37
29,6465.0,0.458,-30.49,-11.4
30,6473.0,0.45,-30.63,-11.47
31,6479.0,0.449,-30.79,-11.54
32,6485.0,0.458,-30.88,-11.58
33,6491.0,0.458,-30.96,-11.62
34,6497.0,0.45,-30.93,-11.62
35,6500.0,0.453,-31.12,-11.7
36,6507.0,0.461,-31.19,-11.73
37,6509.0,0.454,-31.2,-11.74
38,6517.0,0.458,-31.27,-11.78
39,6521.0,0.452,-31.34,-11.81
40,6526.0,0.45,-31.5,-11.88
41,6527.0,0.448,-31.55,-11.89
42,6533.0,0.451,-31.51,-11.89
43,6538.0,0.466,-31.59,-11.93
44,6538.0,0.46,-31.79,-11.99
45,6538.0,0.455,-31.72,-11.97
46,6545.0,0.454,-31.69,-11.98
47,6548.0,0.454,-31.81,-12.02
48,6549.0,0.454,-31.89,-12.05
49,6556.0,0.456,-31.83,-12.05
50,6559.0,0.452,-32.0,-12.12
51,6559.0,0.452,-32.05,-12.12
52,6559.0,0.457,-32.02,-12.11
53,6559.0,0.45,-31.96,-12.09
54,6565.0,0.449,-31.91,-12.09
55,6565.0,0.45,-32.12,-12.16
56,6568.0,0.462,-32.08,-12.15
57,6570.0,0.461,-32.02,-12.13
58,6572.0,0.459,-32.07,-12.16
59,6571.0,0.447,-32.14,-12.17
60,6575.0,0.461,-32.09,-12.17
61,6570.0,0.454,-32.25,-12.21
62,6572.0,0.451,-32.21,-12.21
63,6574.0,0.457,-32.25,-12.22
64,6576.0,0.452,-32.18,-12.2
65,6574.0,0.46,-32.27,-12.23
66,6577.0,0.456,-32.13,-12.19
67,6581.0,0.464,-32.18,-12.21
68,6579.0,0.462,-32.34,-12.26
69,6582.0,0.465,-32.28,-12.25
70,6583.0,0.475,-32.38,-12.28
71,6581.0,0.464,-32.39,-12.27
72,6585.0,0.473,-32.22,-12.23
73,6581.0,0.457,-32.4,-12.28
74,6581.0,0.457,-32.37,-12.27
75,6584.0,0.46,-32.28,-12.25
76,6584.0,0.455,-32.43,-12.3
77,6585.0,0.452,-32.26,-12.24
78,6588.0,0.464,-32.35,-12.28
79,6586.0,0.456,-32.33,-12.27
80,6586.0,0.463,-32.34,-12.27
81,6585.0,0.46,-32.44,-12.31
82,6589.0,0.459,-32.3,-12.26
83,6590.0,0.463,-32.41,-12.3
84,6586.0,0.458,-32.41,-12.29
85,6590.0,0.475,-32.37,-12.29
86,6587.0,0.449,-32.48,-12.31
87,6590.0,0.462,-32.33,-12.28
88,6588.0,0.452,-32.4,-12.29
89,6591.0,0.464,-32.4,-12.3
90,6591.0,0.462,-32.44,-12.31
91,6592.0,0.46,-32.31,-12.27
92,6593.0,0.453,-32.39,-12.3
93,6588.0,0.444,-32.51,-12.33
94,6591.0,0.461,-32.42,-12.31
95,6593.0,0.458,-32.37,-12.29
96,6592.0,0.46,-32.41,-12.3
97,6909.0,0.552,-33.22,-13.13
98,7689.0,0.575,-36.68,-16.56
99,8052.0,0.57,-50.76,-23.21
100,7714.0,0.507,-57.77,-24.62
101,7785.0,0.559,-52.24,-22.52
102,8003.0,0.572,-52.71,-23.79
103,7701.0,0.512,-57.09,-24.25
104,7848.0,0.575,-51.82,-22.62
105,7937.0,0.551,-53.94,-24.03
106,7717.0,0.525,-55.93,-23.81
107,7870.0,0.556,-52.18,-22.92
108,7886.0,0.549,-54.41,-24.0
109,7769.0,0.543,-54.83,-23.58
110,7882.0,0.55,-52.79,-23.21
111,7857.0,0.533,-54.55,-23.91
112,7766.0,0.535,-54.65,-23.51
113,7871.0,0.561,-52.88,-23.21
114,7861.0,0.551,-54.42,-23.86
115,7785.0,0.535,-54.43,-23.49
116,7868.0,0.554,-53.14,-23.32
117,7849.0,0.542,-54.38,-23.77
118,7793.0,0.553,-54.43,-23.54
119,7862.0,0.564,-53.28,-23.34
120,7843.0,0.541,-54.3,-23.71
121,7820.0,0.549,-54.11,-23.5
122,7857.0,0.554,-53.63,-23.46
123,7824.0,0.545,-54.33,-23.62
124,7834.0,0.555,-53.73,-23.4
125,7852.0,0.543,-53.85,-23.54
126,7835.0,0.55,-54.2,-23.61
127,7825.0,0.541,-53.89,-23.44
128,7866.0,0.538,-53.59,-23.49
129,7818.0,0.54,-54.66,-23.73
130,7826.0,0.547,-53.76,-23.37
131,7857.0,0.547,-53.8,-23.54
132,7817.0,0.544,-54.41,-23.62
133,7839.0,0.562,-53.59,-23.35
134,7871.0,0.562,-53.81,-23.59
135,7801.0,0.538,-54.65,-23.64
136,7843.0,0.552,-53.45,-23.3
137,7862.0,0.552,-53.96,-23.63
138,7810.0,0.555,-54.39,-23.55
139,7839.0,0.56,-53.47,-23.3
140,7856.0,0.543,-53.91,-23.58
141,7821.0,0.549,-54.31,-23.57
142,7836.0,0.565,-53.62,-23.35
143,7855.0,0.548,-53.78,-23.5
144,7834.0,0.542,-54.14,-23.57
145,7832.0,0.544,-53.9,-23.43
146,7843.0,0.555,-53.93,-23.51
147,7826.0,0.544,-54.03,-23.48
148,7848.0,0.549,-53.63,-23.4
149,7832.0,0.545,-54.09,-23.53
150,7836.0,0.552,-53.85,-23.44
151,7856.0,0.555,-53.81,-23.5
152,7812.0,0.544,-54.24,-23.5
153,7833.0,0.553,-53.6,-23.31
154,7867.0,0.552,-53.7,-23.53
155,7797.0,0.541,-54.57,-23.58
156,7853.0,0.55,-53.28,-23.25
157,7866.0,0.559,-54.12,-23.69
158,7786.0,0.537,-54.48,-23.46
159,7858.0,0.544,-53.08,-23.21
160,7859.0,0.56,-54.07,-23.64
161,7793.0,0.549,-54.37,-23.45
162,7868.0,0.549,-53.2,-23.29
163,7852.0,0.554,-54.41,-23.74
164,7804.0,0.538,-54.13,-23.38
165,7883.0,0.568,-53.14,-23.33
166,7826.0,0.547,-54.67,-23.74
167,7821.0,0.547,-53.74,-23.29
168,7874.0,0.555,-53.48,-23.43
169,7839.0,0.544,-54.35,-23.64
170,7829.0,0.546,-53.83,-23.37
171,7849.0,0.544,-53.75,-23.43
172,7840.0,0.557,-54.04,-23.51
173,7838.0,0.549,-54.0,-23.48
174,7828.0,0.557,-53.96,-23.44
175,7847.0,0.554,-53.77,-23.43
176,7857.0,0.537,-53.86,-23.5
177,7817.0,0.551,-54.3,-23.51
178,7860.0,0.547,-53.48,-23.35
179,7849.0,0.549,-54.21,-23.62
180,7827.0,0.545,-54.08,-23.45
181,7852.0,0.561,-53.63,-23.37
182,7843.0,0.55,-54.09,-23.54
183,7845.0,0.559,-53.82,-23.41
184,7848.0,0.55,-53.84,-23.44
185,7845.0,0.552,-53.92,-23.47
186,7831.0,0.552,-53.95,-23.42
187,7838.0,0.557,-53.85,-23.41
188,7839.0,0.551,-53.91,-23.44
189,7844.0,0.54,-53.87,-23.44
190,7836.0,0.555,-53.94,-23.44
191,7849.0,0.571,-53.78,-23.41
192,7826.0,0.535,-54.14,-23.48
193,7841.0,0.556,-53.76,-23.38
194,7851.0,0.554,-53.87,-23.47
195,7831.0,0.547,-54.16,-23.5
196,6909.0,0.499,-53.84,-19.17
197,7573.0,0.552,-37.58,-16.51
198,7846.0,0.558,-48.22,-21.42
199,7858.0,0.536,-53.72,-23.47
200,7784.0,0.55,-54.53,-23.46
201,7747.0,0.54,-52.87,-22.71
202,7701.0,0.541,-52.02,-22.25
203,7621.0,0.521,-51.03,-21.6
