"Format","AiM CSV File"
"Session","241008_10:00PM"
"Vehicle","SIK Session 1"
"Racer","Jackson"
"Championship",""
"Comment",""
"Date","Wednesday, October 9, 2024"
"Time","1:17 AM"
"Sample Rate","20"
"Duration","550"
"Segment","Session"
"Beacon Markers","550"
"Segment Times","9:10.000"

"Time","Predictive Time","Best Run Diff","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Internal Battery"
"s"," "," ","g","g","g","deg/s","deg/s","deg/s","V"

,"0","0","-0.00","0.00","-1.00","-0.0","-0.1","-0.0","3.9"
,"0","0","-0.00","-0.00","-1.00","-0.0","-0.1","-0.0","3.9"
,"0","0","-0.00","0.00","-1.00","-0.0","-0.1","-0.0","3.9"
,"0","0","-0.00","0.00","-0.99","-0.0","-0.1","-0.0","3.9"
,"0","0","-0.00","0.00","-1.00","-0.0","-0.1","-0.0","3.9"
,"0","0","-0.00","0.00","-1.00","0.0","-0.0","-0.0","3.9"
,"0","0","-0.01","0.00","-0.99","-0.0","-0.0","-0.1","3.9"
,"0","0","-0.01","0.00","-1.00","-0.1","-0.0","-0.0","3.9"
,"0","0","-0.00","0.00","-1.00","-0.1","-0.0","-0.0","3.9"
,"0","0","-0.00","-0.00","-1.00","-0.0","-0.0","-0.0","3.9"
,"0","0","-0.00","0.00","-1.00","-0.0","-0.0","-0.0","3.9"
,"0","0","-0.00","0.00","-1.00","-0.0","-0.0","0.0","3.9"
,"0","0","-0.01","0.00","-1.00","-0.0","-0.0","0.0","3.9"
,"0","0","-0.01","0.00","-1.00","-0.1","-0.1","0.0","3.9"
,"0","0","-0.01","0.00","-1.00","-0.1","-0.1","0.0","3.9"
,"0","0","-0.00","0.00","-0.99","-0.0","-0.0","0.0","3.9"
,"0","0","-0.00","0.00","-1.00","-0.1","-0.0","0.0","3.9"
,"0","0","-0.00","0.00","-1.00","-0.1","-0.1","0.0","3.9"
,"0","0","-0.00","0.00","-1.00","-0.0","-0.0","0.0","3.9"
,"0","0","-0.00","-0.00","-1.00","-0.0","0.0","0.0","3.9"
,"0","0","-0.00","0.00","-1.00","-0.1","-0.1","0.0","3.9"
,"0","0","-0.00","0.00","-1.00","-0.1","-0.0","-0.0","3.9"
,"0","0","-0.00","0.00","-1.00","-0.1","0.0","-0.0","3.9"
,"0","0","-0.01","0.00","-1.00","-0.1","0.0","-0.0","3.9"
,"0","0","-0.00","0.00","-1.00","-0.0","0.1","-0.0","3.9"
,"0","0","-0.01","0.00","-1.00","-0.0","0.1","-0.0","3.9"
,"0","0","-0.01","0.00","-0.99","-0.1","0.0","-0.0","3.9"
,"0","0","-0.01","0.00","-1.00","-0.0","0.0","-0.0","3.9"
,"0","0","-0.01","0.00","-0.99","-0.0","-0.0","-0.1","3.9"
,"0","0","-0.00","0.00","-1.00","0.0","0.0","-0.0","3.9"
,"0","0","-0.01","-0.00","-1.00","-0.0","-0.0","-0.1","3.9"
,"0","0","-0.01","-0.01","-1.00","-0.0","0.1","-0.0","3.9"
,"0","0","-0.01","-0.01","-1.00","-0.1","-0.0","0.0","3.9"
,"0","0","-0.01","0.00","-1.00","-0.0","-0.0","-0.0","3.9"
,"0","0","-0.00","0.00","-1.00","-0.1","-0.0","-0.1","3.9"
,"0","0","-0.00","0.00","-1.00","-0.1","0.0","-0.0","3.9"
,"0","0","-0.00","0.00","-0.99","-0.1","0.1","-0.0","3.9"
,"0","0","-0.00","0.00","-0.99","-0.1","0.1","-0.0","3.9"
